,,,,,,,,,number of cycles cancelled before eggs were collected,,,,number of cycles cancelled between egg collection and embryo transfer,,,,,,,Number of embryos transferred,,Pregnancies and births per treatment cycle,,,,,,,,,,,,Pregnancies and births per embryo transferred,,,,,,,
Clinic,number of cycles started,Number of cycles reaching egg collection stage,Number of cycles reaching embryo transfer stage,Average number of embryos transferred during all cycles,Proportion single embryo transfers (elective),Proportion of single embryo transfers (non elective),Proportion of two embryo transfers,Proportion of three embryo transfers,Patient had not produced enough eggs to collect after taking fertility drugs,Patient had an adverse reaction to fertility drugs â€“ unsafe to continue cycle,other,Reason not supplied,Over response (Patient has produced too many eggs after taking fertility drugs and it would not be safe to continue the cycle),Embryos did not develop normally,Embryos did not thaw properly (when cycle was using frozen embryos),Embryos tested positive for a genetic test,Other,No embryos developed,Reason not supplied,Total number of embryos transferred during all cycles,Proportion of all embryos transfers that were blastocysts,Pregnancies per cycle,Pregnancies per cycle %,Live births per cycle,Live births per cycle %,Singleton live births per cycle,Singleton live births per cycle %,Multiple births per cycle,Multiple births per cycle %,Live births per egg collection,Live births per egg collection %,Live births per embryo transfer,Live births per embryo transfer %,Pregnancies per embryo transferred,Pregnancies per embryo transferred %,Live births per embryo transferred,Live births per embryo transferred %,Singleton live births per embryo transferred,Singleton live births per embryo transferred %,Multiple births per embryo transferred,Multiple births per embryo transferred %
Hewitt Fertility Centre,22,21,15,1.53,20%,27%,53%,0%,1,0,0,0,0,0,0,0,4,2,0,23,40%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%
The Lister Fertility Clinic,182,168,136,1.66,24%,21%,43%,12%,2,0,7,5,0,0,0,0,18,14,0,226,49%,9,5%,4,2%,4,2%,4,2%,4,3%,9,4%,4,2%,4,2%
Barts Health Centre for Reproductive Medicine,13,11,10,1.6,0%,40%,60%,0%,2,0,0,0,0,0,0,0,1,0,0,16,10%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%
Birmingham Women's Hospital,13,13,11,1.73,0%,27%,73%,0%,0,0,0,0,0,0,0,0,1,1,0,19,9%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%
Boston Place,17,16,15,1.93,13%,20%,40%,27%,1,0,0,0,0,0,0,0,1,0,0,29,67%,2,12%,2,12%,2,12%,2,13%,2,13%,2,7%,2,7%,2,7%
CARE  Birmingham,18,16,12,1.5,8%,42%,50%,0%,1,0,1,0,0,0,0,0,0,4,0,18,58%,3,17%,3,17%,3,17%,3,19%,3,25%,3,17%,3,17%,3,17%
CARE Bath,11,10,9,1.78,0%,33%,56%,11%,1,0,0,0,0,0,0,0,1,0,0,16,33%,4,36%,3,27%,2,18%,3,30%,3,33%,4,25%,3,19%,2,13%
CARE London,64,56,46,1.85,4%,24%,59%,13%,5,0,3,0,1,0,0,0,2,7,0,85,30%,1,2%,1,2%,1,2%,1,2%,1,2%,1,1%,1,1%,1,1%
Chelsea & Westminster Hospital,23,22,21,2.1,5%,19%,43%,33%,0,0,0,1,0,1,0,0,0,0,0,44,19%,4,17%,3,13%,3,13%,3,14%,3,14%,4,9%,3,7%,3,7%
Concept Fertility,13,13,10,2.4,0%,10%,40%,50%,0,0,0,0,0,1,0,0,0,2,0,24,10%,2,15%,2,15%,2,15%,2,15%,2,20%,2,8%,2,8%,2,8%
TFP GCRM Fertility,34,27,19,1.84,0%,37%,42%,21%,6,0,0,1,1,0,0,0,1,6,0,35,32%,1,3%,0,0%,0,0%,0,0%,0,0%,1,3%,0,0%,0,0%
London Women's Clinic,86,65,38,1.55,37%,13%,45%,5%,15,0,6,0,1,0,0,0,1,25,0,59,100%,4,5%,2,2%,2,2%,2,3%,2,5%,4,7%,2,3%,2,3%
Guys Hospital,74,71,65,2.28,2%,11%,48%,40%,1,0,0,2,0,0,0,0,0,7,0,148,29%,6,8%,3,4%,1,1%,3,4%,3,5%,6,4%,3,2%,1,1%
IVI London (Wimpole Street),0,0,0,0,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%
Leeds Fertility,31,28,22,1.82,18%,0%,82%,0%,1,0,1,1,0,0,0,0,2,4,0,40,59%,4,13%,3,10%,3,10%,3,11%,3,14%,4,10%,3,8%,3,8%
London Fertility Centre,58,58,57,2.33,0%,19%,28%,53%,0,0,0,0,0,0,0,0,0,1,0,133,9%,7,12%,4,7%,4,7%,4,7%,4,7%,7,5%,4,3%,4,3%
"London Women's Clinic, Wales",16,12,8,1.75,0%,38%,50%,13%,1,0,1,2,0,0,0,0,0,4,0,14,38%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%
Reproductive Health Group,14,7,5,1.2,60%,20%,20%,0%,4,0,2,1,0,0,0,0,1,1,0,6,20%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%,0,0%
Wales Fertility Institute – Neath ,0,0,0,0,0%,0%,0%,0%,0,0,0,0,0,0,0,0,0,0,0,0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%,0 out of 0,0%
Wolfson Fertility Centre - Hammersmith Hospital,23,21,15,2.2,0%,13%,53%,33%,1,0,0,1,0,0,0,0,4,2,0,33,60%,1,4%,1,4%,0,0%,1,5%,1,7%,1,3%,1,3%,0,0%

